source,target
AstraZeneca,"Wild, Susan"
AstraZeneca,"Ferguson, Drew"
AstraZeneca,Common Values PAC
AstraZeneca,"Johnson, Bill"
AstraZeneca,"Schiff, Adam"
AstraZeneca,"Stelson, Janelle"
AstraZeneca,"Schrier, Kim"
AstraZeneca,"Nez, Jonathan"
AstraZeneca,"Osborn, Dan"
AstraZeneca,"Horsford, Steven"
AstraZeneca,"Gallego, Ruben"
AstraZeneca,"Vargas, Tony"
AstraZeneca,"Kaine, Tim"
AstraZeneca,"Salinas, Andrea"
AstraZeneca,"Cooke, Rebecca"
AstraZeneca,"Murphy, Christopher S"
AstraZeneca,"Gillen, Laura"
AstraZeneca,"Coleman, Bonnie Watson"
AstraZeneca,"Trahan, Lori"
AstraZeneca,"Ross, Deborah"
AstraZeneca,"Auchincloss, Jake"
AstraZeneca,"Busch, Emily"
AstraZeneca,"Ryan, Pat"
AstraZeneca,"Houlahan, Chrissy"
AstraZeneca,"Parrott, Neil"
AstraZeneca,"Deluzio, Christopher"
AstraZeneca,"Cartwright, Matt"
AstraZeneca,"Davids, Sharice"
AstraZeneca,"Caraveo, Yadira"
AstraZeneca,"Scholten, Hillary"
AstraZeneca,"Menendez, Rob"
AstraZeneca,"Helmer, Daniel"
AstraZeneca,"Sanchez, Linda"
AstraZeneca,"Underwood, Lauren A"
AstraZeneca,"Riley, Josh"
AstraZeneca,"Aguilar, Pete"
AstraZeneca,M-PAC
AstraZeneca,"Britt, Katie Boyd"
AstraZeneca,"Crapo, Mike"
AstraZeneca,"Smith, Jason"
AstraZeneca,Bluegrass Cmte
AstraZeneca,Evergreen PAC
AstraZeneca,"Cardenas, Tony"
AstraZeneca,"Nickel, Wiley"
AstraZeneca,"McHenry, Patrick"
AstraZeneca,"Heinrich, Martin"
AstraZeneca,"Coons, Chris"
AstraZeneca,"Marshall, Roger"
AstraZeneca,Building Up Democracy's Dream
AstraZeneca,"Stevens, Haley"
AstraZeneca,Fightin' Ninth PAC
AstraZeneca,Mr Southern Missourian in the House
AstraZeneca,Fair Shot PAC
AstraZeneca,"Murphy, Greg"
AstraZeneca,HeartDocPAC
AstraZeneca,HMS SCRAP PAC                                     
AstraZeneca,Alabama First PAC
AstraZeneca,"Larson, John"
AstraZeneca,"Lankford, James"
AstraZeneca,I Got Your Back PAC
AstraZeneca,Freedom Fund
AstraZeneca,Luchadora PAC                                     
AstraZeneca,"McConnell, Mitch"
AstraZeneca,Fight Like Hell PAC
AstraZeneca,"Cox, Dan"
AstraZeneca,Republican National Cmte
AstraZeneca,Tarrant County Republican Victory Fund
AstraZeneca,Democratic Party of Ohio
AstraZeneca,Gay & Lesbian Victory Fund
AstraZeneca,"Sykes, Emilia"
AstraZeneca,"Golden, Jared"
AstraZeneca,We Invest in Lives & Dreams PAC
AstraZeneca,"Burgess, Michael"
AstraZeneca,"Correa, Lou"
AstraZeneca,"O'Shea, John"
AstraZeneca,"Menendez, Robert"
AstraZeneca,Freshman Protection PAC
AstraZeneca,Cache PAC
AstraZeneca,"Peters, Gary"
AstraZeneca,"Wyden, Ron"
AstraZeneca,"Spanberger, Abigail"
AstraZeneca,"McBath, Lucy"
AstraZeneca,Great American Comeback
AstraZeneca,"Ehasz, Ashley"
AstraZeneca,"Wicker, Roger"
AstraZeneca,"Baccam, Lanon"
AstraZeneca,"Min, Dave"
AstraZeneca,Republican Accountability PAC
AstraZeneca,"Young, Todd"
AstraZeneca,"Hudson, Richard"
AstraZeneca,"Morelle, Joseph D"
AstraZeneca,"Samuels, Don"
AstraZeneca,"Latta, Bob"
AstraZeneca,"Cisneros, Gil"
AstraZeneca,"Moore, Blake"
AstraZeneca,Secure Progress
AstraZeneca,Early Vote Action PAC
AstraZeneca,"Tillis, Thom"
AstraZeneca,"Harder, Josh"
AstraZeneca,Rejoice PAC
AstraZeneca,"Suozzi, Tom"
AstraZeneca,"Shah, Amish"
AstraZeneca,"Daines, Steven"
AstraZeneca,"Ocasio-Cortez, Alexandria"
AstraZeneca,Save America
AstraZeneca,"Klee Hood, Sarah"
AstraZeneca,"Duckworth, Tammy"
AstraZeneca,"Kennedy, Robert F Jr."
AstraZeneca,"Lam, Clarence"
AstraZeneca,"Mucarsel-Powell, Debbie"
AstraZeneca,"O'brien, Michael"
AstraZeneca,"Hertel, Curtis"
AstraZeneca,"Krishnamoorthi, Raja"
AstraZeneca,"Cherny, Andrei"
AstraZeneca,"Mrvan, Frank Jr"
AstraZeneca,"Cotter Smasal, Missy"
AstraZeneca,"Mcdonald Rivet, Kristen"
AstraZeneca,"Avlon, John"
AstraZeneca,"Bohannan, Christina"
AstraZeneca,Golden State Democracy PAC
AstraZeneca,"Warner, Mark"
AstraZeneca,"Goldman, Dan"
AstraZeneca,Synergy PAC
AstraZeneca,Generation Go
AstraZeneca,"Hoeven, John"
AstraZeneca,"Smucker, Lloyd"
AstraZeneca,"Steel, Michelle"
AstraZeneca,Indiana Republican State Cmte
AstraZeneca,Keystone America PAC
AstraZeneca,"Collins, Susan M"
AstraZeneca,"Kuster, Ann"
AstraZeneca,"Kilmer, Derek"
AstraZeneca,"Estes, Ron"
AstraZeneca,"Fischbach, Michelle"
AstraZeneca,Spike PAC
AstraZeneca,"Capito, Shelley Moore"
AstraZeneca,"Balderson, Troy"
AstraZeneca,"Foushee, Valerie"
AstraZeneca,"Vartan Iii, Gregory"
AstraZeneca,"Cassidy, Bill"
AstraZeneca,"Gomez, Jimmy"
AstraZeneca,"Agwan, Pervez"
AstraZeneca,"Dunn, Neal"
AstraZeneca,All for Our Country
AstraZeneca,Nuestro PAC
AstraZeneca,Tomorrow PAC (McBride)
AstraZeneca,"Hirono, Mazie K"
AstraZeneca,"Veasey, Marc"
AstraZeneca,Getting Stuff Done PAC
AstraZeneca,Forward Blue
AstraZeneca,"Warren, Elizabeth"
